City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Aksu,CN,41.1231,80.2644,92.64,16,7,10.89,clear sky
178,Santana Do Livramento,BR,-30.8908,-55.5328,46.53,87,72,4.81,broken clouds
179,Faya,SA,18.3851,42.4509,77.52,23,82,10.09,broken clouds
180,Sumbawanga,TZ,-7.9667,31.6167,53.2,75,22,1.72,few clouds
181,Vestmanna,FO,62.1564,-7.1664,50.92,93,100,18.41,overcast clouds
182,Umm Kaddadah,SD,13.6017,26.6876,80.29,61,82,15.93,broken clouds
183,Loubomo,CG,-4.1997,12.6739,63.88,95,18,2.71,few clouds
184,Waddan,LY,29.1614,16.139,74.7,55,0,4.12,clear sky
185,Villa Union,MX,23.2,-106.2333,84.9,78,75,0.0,broken clouds
186,Adeje,ES,28.1227,-16.726,79.11,53,0,5.75,clear sky
187,Tiksi,RU,71.6872,128.8694,33.66,85,100,21.41,overcast clouds
188,Pangai,TO,-19.8,-174.35,75.31,94,75,18.41,light intensity shower rain
189,Tukrah,LY,32.5341,20.5791,79.16,59,0,22.57,clear sky
190,Svetlogorsk,BY,52.6333,29.7333,57.02,95,100,6.04,overcast clouds
191,Potosi,BO,-19.5836,-65.7531,41.11,56,84,3.33,broken clouds
192,Hofn,IS,64.2539,-15.2082,49.71,90,100,12.48,overcast clouds
193,Berlevag,NO,70.8578,29.0864,64.2,72,0,2.3,clear sky
194,Tambura,SS,5.6,27.4667,67.35,98,100,5.61,overcast clouds
195,Avera,US,33.194,-82.5271,77.56,75,91,9.04,overcast clouds
196,Plettenberg Bay,ZA,-34.0527,23.3716,58.24,88,93,0.83,overcast clouds
197,Broome,US,42.2506,-75.833,71.85,84,100,10.36,overcast clouds
198,Jumla,NP,29.2747,82.1838,74.8,67,78,4.68,broken clouds
199,Mugur-Aksy,RU,50.35,90.5,55.17,39,47,3.85,scattered clouds
200,Hay River,CA,60.8156,-115.7999,67.98,60,100,3.44,overcast clouds
201,Machilipatnam,IN,16.1667,81.1333,88.34,62,91,5.37,overcast clouds
202,Susuman,RU,62.7833,148.1667,81.1,48,96,15.77,overcast clouds
203,Bose,IT,45.4612,8.0137,74.84,66,1,4.21,clear sky
204,Salalah,OM,17.0151,54.0924,77.09,100,100,5.75,light intensity drizzle
205,Kloulklubed,PW,7.0419,134.2556,81.1,71,91,2.26,overcast clouds
206,Srednekolymsk,RU,67.45,153.6833,58.33,45,99,9.95,overcast clouds
207,Gorom-Gorom,BF,14.4439,-0.2361,77.83,70,100,7.36,overcast clouds
208,Newark,US,40.7357,-74.1724,78.93,86,40,11.5,scattered clouds
209,Ancud,CL,-41.8697,-73.8203,42.22,81,24,11.65,few clouds
210,Mezhdurechensk,RU,53.6942,88.0603,60.24,92,85,6.17,light rain
211,Zhuanghe,CN,39.7008,122.9911,84.22,61,38,4.54,scattered clouds
212,Clyde River,CA,70.4692,-68.5914,35.83,100,100,5.75,light rain
213,Ilheus,BR,-14.7889,-39.0494,68.86,88,69,3.83,broken clouds
214,Cabo San Lucas,MX,22.8909,-109.9124,84.51,78,0,3.0,clear sky
215,Buraydah,SA,26.326,43.975,91.85,9,24,6.08,few clouds
216,Tondi,IN,9.7333,79.0167,88.3,58,64,5.59,broken clouds
217,Kathu,TH,7.9178,98.3332,87.69,97,100,14.09,overcast clouds
218,Vardo,NO,70.3705,31.1107,55.53,83,63,6.51,broken clouds
219,Sept-Iles,CA,50.2001,-66.3821,61.32,92,75,5.75,broken clouds
220,Villanueva,HN,15.3167,-88.0,78.04,94,75,2.3,broken clouds
221,Otane,NZ,-39.8833,176.6333,57.0,77,100,8.66,overcast clouds
222,Vilhena,BR,-12.7406,-60.1458,65.3,45,4,2.42,clear sky
223,Ballitoville,ZA,-29.539,31.2144,59.25,87,0,1.14,clear sky
224,Grand Gaube,MU,-20.0064,57.6608,72.37,64,47,10.0,scattered clouds
225,Saint-Philippe,RE,-21.3585,55.7679,72.99,71,61,16.53,broken clouds
226,Walvis Bay,NA,-22.9575,14.5053,55.09,93,100,1.14,overcast clouds
227,Klaksvik,FO,62.2266,-6.589,52.72,94,96,19.6,light rain
228,Bajil,YE,15.0584,43.2851,92.28,29,81,4.83,broken clouds
229,Lukovetskiy,RU,64.2956,41.9211,56.89,98,100,8.14,light rain
230,Raga,SS,8.4596,25.678,68.43,99,87,4.34,overcast clouds
231,Longyearbyen,SJ,78.2186,15.6401,55.24,67,75,13.8,broken clouds
232,Naze,JP,28.3667,129.4833,85.12,80,100,16.75,overcast clouds
233,Jadu,LY,31.953,12.0261,70.11,47,0,7.23,clear sky
234,Te Anau,NZ,-45.4167,167.7167,41.97,98,100,4.85,overcast clouds
235,Rocha,UY,-34.4833,-54.3333,42.4,92,70,2.3,broken clouds
236,Batemans Bay,AU,-35.7167,150.1833,54.1,70,94,10.4,overcast clouds
237,Ternate,ID,0.8,127.4,79.65,79,100,12.33,overcast clouds
238,Jizan,SA,17.3333,42.6667,90.54,37,88,2.59,overcast clouds
239,Axim,GH,4.8699,-2.2405,74.91,77,93,10.49,overcast clouds
240,Harper,LR,4.375,-7.7169,74.05,79,100,10.27,light rain
241,Ozu,JP,33.5,132.55,80.22,98,100,5.75,heavy intensity rain
242,Carutapera,BR,-1.195,-46.02,74.05,94,50,5.39,scattered clouds
243,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,94,68,3.69,broken clouds
244,Xining,CN,36.6167,101.7667,72.81,43,10,6.55,clear sky
245,Chara,RU,56.9064,118.2631,67.59,66,90,3.4,light rain
246,Kondinskoye,RU,59.6481,67.41,75.94,40,9,3.36,clear sky
247,Ochamchira,GE,42.7121,41.4721,71.89,89,99,9.17,heavy intensity rain
248,Gizo,SB,-8.103,156.8419,83.97,65,68,3.24,broken clouds
249,Coquimbo,CL,-29.9533,-71.3436,51.53,93,0,3.44,clear sky
250,Caravelas,BR,-17.7125,-39.2481,69.37,89,20,4.92,few clouds
251,Casablanca,MA,33.5928,-7.6192,71.82,85,1,10.18,clear sky
252,Peace River,CA,56.2501,-117.286,70.11,56,75,18.41,broken clouds
253,Rawson,AR,-43.3002,-65.1023,39.83,51,0,11.74,clear sky
